"","rgi7_id","rgi6_id","overlap_area_km2","rgi7_area_fraction","rgi6_area_fraction","cluster_id","n_rgi7","n_rgi6"
8317,"RGI2000-v7.0-G-14-08687","RGI60-14.02150",258.8149588957051,0.961753145854963,0.8304620394288661,0,1,1
11289,"RGI2000-v7.0-G-14-11166","RGI60-14.04638",268.56518123922626,0.9422013262768549,0.9093822484203006,1,1,1
12040,"RGI2000-v7.0-G-14-11612","RGI60-14.06794",738.061964997879,0.93400635411808,0.9121824817967275,2,1,1
12838,"RGI2000-v7.0-G-14-12063","RGI60-14.04668",295.15399196455724,0.9290031051672606,0.8818776232795301,3,1,1
25848,"RGI2000-v7.0-G-14-20040","RGI60-14.07524",997.5064923454523,0.9168645002358147,0.92536547800175,4,1,1
25895,"RGI2000-v7.0-G-14-20061","RGI60-14.05890",221.53065049890208,0.8572879083568985,0.5041492859146932,5,1,1
26931,"RGI2000-v7.0-G-14-20666","RGI60-14.07239",232.30506411326144,0.8813515787693078,0.9069421426932869,6,1,1
28021,"RGI2000-v7.0-G-14-21580","RGI60-14.04593",352.5187978843895,0.9519022867665422,0.8969397948060175,7,1,1
28293,"RGI2000-v7.0-G-14-21670","RGI60-14.04477",425.4600247008234,0.9454502232475748,0.8583654889460985,8,1,1
31856,"RGI2000-v7.0-G-14-23729","RGI60-14.00005",507.7694241964489,0.954492735667056,0.9070456108688417,9,1,1
